,Model,Tumor,Treatment,BestResCatCalc
60,X-5502,BRCA,BGJ398,0
8,X-1407,BRCA,BGJ398,0
1,X-1008,BRCA,BGJ398,1
56,X-4888,BRCA,BGJ398,1
25,X-1921,BRCA,BGJ398,0
40,X-2780,BRCA,BGJ398,0
61,X-5975,BRCA,BGJ398,0
20,X-1828,BRCA,BGJ398,1
44,X-3201,BRCA,BGJ398,0
24,X-1916,BRCA,BGJ398,0
228,X-5502,BRCA,BKM120,1
82,X-1407,BRCA,BKM120,1
64,X-1008,BRCA,BKM120,1
215,X-4888,BRCA,BKM120,0
107,X-1921,BRCA,BKM120,1
149,X-2780,BRCA,BKM120,1
230,X-5975,BRCA,BKM120,1
100,X-1828,BRCA,BKM120,1
164,X-3201,BRCA,BKM120,0
106,X-1916,BRCA,BKM120,0
366,X-5502,BRCA,BYL719,1
251,X-1407,BRCA,BYL719,0
233,X-1008,BRCA,BYL719,1
354,X-4888,BRCA,BYL719,1
274,X-1921,BRCA,BYL719,1
310,X-2780,BRCA,BYL719,1
368,X-5975,BRCA,BYL719,1
268,X-1828,BRCA,BYL719,0
322,X-3201,BRCA,BYL719,0
273,X-1916,BRCA,BYL719,0
498,X-5502,BRCA,BYL719 + LJM716,1
389,X-1407,BRCA,BYL719 + LJM716,1
371,X-1008,BRCA,BYL719 + LJM716,1
486,X-4888,BRCA,BYL719 + LJM716,1
412,X-1921,BRCA,BYL719 + LJM716,1
445,X-2780,BRCA,BYL719 + LJM716,1
500,X-5975,BRCA,BYL719 + LJM716,1
406,X-1828,BRCA,BYL719 + LJM716,1
457,X-3201,BRCA,BYL719 + LJM716,1
411,X-1916,BRCA,BYL719 + LJM716,1
627,X-5502,BRCA,CGM097,1
518,X-1407,BRCA,CGM097,0
503,X-1008,BRCA,CGM097,0
616,X-4888,BRCA,CGM097,0
542,X-1921,BRCA,CGM097,0
572,X-2780,BRCA,CGM097,0
629,X-5975,BRCA,CGM097,0
535,X-1828,BRCA,CGM097,0
583,X-3201,BRCA,CGM097,0
541,X-1916,BRCA,CGM097,0
785,X-5502,BRCA,CLR457,1
650,X-1407,BRCA,CLR457,1
632,X-1008,BRCA,CLR457,1
773,X-4888,BRCA,CLR457,1
675,X-1921,BRCA,CLR457,1
717,X-2780,BRCA,CLR457,1
787,X-5975,BRCA,CLR457,0
669,X-1828,BRCA,CLR457,1
732,X-3201,BRCA,CLR457,0
674,X-1916,BRCA,CLR457,1
919,X-5502,BRCA,HDM201,1
807,X-1407,BRCA,HDM201,0
790,X-1008,BRCA,HDM201,0
907,X-4888,BRCA,HDM201,1
830,X-1921,BRCA,HDM201,0
863,X-2780,BRCA,HDM201,1
921,X-5975,BRCA,HDM201,1
824,X-1828,BRCA,HDM201,0
875,X-3201,BRCA,HDM201,0
829,X-1916,BRCA,HDM201,0
924,X-1008,BRCA,INC424,1
958,X-3077,BRCA,INC424,1
953,X-2780,BRCA,INC424,0
988,X-5355,BRCA,INC424,0
932,X-1468,BRCA,INC424,0
944,X-2344,BRCA,INC424,0
935,X-1832,BRCA,INC424,0
977,X-4347,BRCA,INC424,0
937,X-1921,BRCA,INC424,0
1155,X-5502,BRCA,LEE011,1
1012,X-1407,BRCA,LEE011,0
993,X-1008,BRCA,LEE011,1
1143,X-4888,BRCA,LEE011,1
1038,X-1921,BRCA,LEE011,1
1080,X-2780,BRCA,LEE011,0
1157,X-5975,BRCA,LEE011,1
1031,X-1828,BRCA,LEE011,1
1095,X-3201,BRCA,LEE011,0
1037,X-1916,BRCA,LEE011,0
1267,X-5502,BRCA,LKA136,1
1175,X-1407,BRCA,LKA136,0
1160,X-1008,BRCA,LKA136,0
1255,X-4888,BRCA,LKA136,0
1188,X-1921,BRCA,LKA136,0
1215,X-2780,BRCA,LKA136,0
1269,X-5975,BRCA,LKA136,0
1184,X-1828,BRCA,LKA136,0
1226,X-3201,BRCA,LKA136,0
1187,X-1916,BRCA,LKA136,1
1330,X-5502,BRCA,LLM871,1
1279,X-1407,BRCA,LLM871,0
1272,X-1008,BRCA,LLM871,0
1326,X-4888,BRCA,LLM871,1
1295,X-1921,BRCA,LLM871,0
1310,X-2780,BRCA,LLM871,1
1331,X-5975,BRCA,LLM871,1
1290,X-1828,BRCA,LLM871,1
1314,X-3201,BRCA,LLM871,0
1294,X-1916,BRCA,LLM871,0
1496,X-5502,BRCA,binimetinib,1
1349,X-1407,BRCA,binimetinib,1
1049,X-1008,BRCA,binimetinib,1
1483,X-4888,BRCA,binimetinib,1
1374,X-1921,BRCA,binimetinib,1
1416,X-2780,BRCA,binimetinib,1
1498,X-5975,BRCA,binimetinib,1
1367,X-1828,BRCA,binimetinib,1
1430,X-3201,BRCA,binimetinib,0
1373,X-1916,BRCA,binimetinib,0
1559,X-5502,BRCA,paclitaxel,1
1508,X-1407,BRCA,paclitaxel,0
1501,X-1008,BRCA,paclitaxel,1
1555,X-4888,BRCA,paclitaxel,1
1525,X-1921,BRCA,paclitaxel,0
1539,X-2780,BRCA,paclitaxel,1
1560,X-5975,BRCA,paclitaxel,1
1520,X-1828,BRCA,paclitaxel,1
1543,X-3201,BRCA,paclitaxel,1
1524,X-1916,BRCA,paclitaxel,0
146,X-2700,CM,BKM120,0
151,X-2838,CM,BKM120,1
94,X-1655,CM,BKM120,0
214,X-4849,CM,BKM120,0
166,X-3211,CM,BKM120,1
163,X-3127,CM,BKM120,1
140,X-2602,CM,BKM120,1
218,X-5189,CM,BKM120,1
569,X-2700,CM,CGM097,0
574,X-2838,CM,CGM097,1
529,X-1655,CM,CGM097,0
611,X-4644,CM,CGM097,0
585,X-3211,CM,CGM097,1
582,X-3127,CM,CGM097,1
565,X-2602,CM,CGM097,0
618,X-5189,CM,CGM097,1
715,X-2723,CM,CLR457,1
765,X-4455,CM,CLR457,0
673,X-1906,CM,CLR457,1
722,X-2921,CM,CLR457,0
758,X-4157,CM,CLR457,0
1078,X-2723,CM,LEE011,0
1106,X-3486,CM,LEE011,1
1132,X-4426,CM,LEE011,1
1072,X-2613,CM,LEE011,1
1146,X-5189,CM,LEE011,1
1025,X-1655,CM,LEE011,1
1036,X-1906,CM,LEE011,1
1892,X-2700,CM,WNT974,1
1895,X-2838,CM,WNT974,1
1876,X-1655,CM,WNT974,0
1934,X-4849,CM,WNT974,0
1901,X-3211,CM,WNT974,1
1900,X-3127,CM,WNT974,1
1888,X-2602,CM,WNT974,0
1936,X-5189,CM,WNT974,0
1413,X-2700,CM,binimetinib,1
1418,X-2838,CM,binimetinib,0
1361,X-1655,CM,binimetinib,1
1482,X-4849,CM,binimetinib,0
1432,X-3211,CM,binimetinib,1
1429,X-3127,CM,binimetinib,1
1407,X-2602,CM,binimetinib,1
1486,X-5189,CM,binimetinib,1
1721,X-2700,CM,encorafenib,0
1725,X-2838,CM,encorafenib,1
1704,X-1655,CM,encorafenib,0
1753,X-4849,CM,encorafenib,0
1732,X-3211,CM,encorafenib,1
1730,X-3127,CM,encorafenib,1
1718,X-2602,CM,encorafenib,1
1754,X-5189,CM,encorafenib,0
221,X-5254,CRC,BKM120,0
225,X-5446,CRC,BKM120,0
144,X-2659,CRC,BKM120,1
133,X-2483,CRC,BKM120,1
226,X-5494,CRC,BKM120,1
74,X-1290,CRC,BKM120,0
104,X-1855,CRC,BKM120,1
66,X-1119,CRC,BKM120,1
162,X-3093,CRC,BKM120,1
90,X-1536,CRC,BKM120,1
247,X-1329,CRC,BYL719,0
364,X-5494,CRC,BYL719,0
332,X-3792,CRC,BYL719,1
311,X-2822,CRC,BYL719,1
321,X-3093,CRC,BYL719,1
296,X-2403,CRC,BYL719,1
259,X-1538,CRC,BYL719,1
235,X-1119,CRC,BYL719,0
312,X-2846,CRC,BYL719,1
258,X-1536,CRC,BYL719,1
491,X-5254,CRC,BYL719 + LJM716,1
495,X-5446,CRC,BYL719 + LJM716,0
443,X-2659,CRC,BYL719 + LJM716,1
434,X-2483,CRC,BYL719 + LJM716,1
496,X-5494,CRC,BYL719 + LJM716,0
381,X-1290,CRC,BYL719 + LJM716,1
410,X-1855,CRC,BYL719 + LJM716,1
373,X-1119,CRC,BYL719 + LJM716,0
456,X-3093,CRC,BYL719 + LJM716,0
397,X-1536,CRC,BYL719 + LJM716,1
505,X-1119,CRC,CGM097,1
563,X-2538,CRC,CGM097,1
575,X-2846,CRC,CGM097,0
513,X-1303,CRC,CGM097,0
551,X-2145,CRC,CGM097,1
521,X-1443,CRC,CGM097,0
586,X-3224,CRC,CGM097,0
598,X-3792,CRC,CGM097,1
525,X-1500,CRC,CGM097,0
1669,X-2659,CRC,CKX620,0
1687,X-5494,CRC,CKX620,0
1634,X-1290,CRC,CKX620,0
1653,X-1855,CRC,CKX620,1
1628,X-1119,CRC,CKX620,0
1678,X-3267,CRC,CKX620,1
1644,X-1536,CRC,CKX620,1
1672,X-2861,CRC,CKX620,1
1640,X-1443,CRC,CKX620,0
1686,X-5446,CRC,CKX620,0
646,X-1329,CRC,CLR457,0
783,X-5494,CRC,CLR457,1
756,X-4087,CRC,CLR457,0
720,X-2846,CRC,CLR457,1
733,X-3205,CRC,CLR457,1
702,X-2483,CRC,CLR457,1
659,X-1538,CRC,CLR457,1
634,X-1119,CRC,CLR457,0
