,Model,Tumor,Treatment,BestResCatCalc
4,X-1298,BRCA,BGJ398,1
42,X-3077,BRCA,BGJ398,1
55,X-4824,BRCA,BGJ398,0
21,X-1832,BRCA,BGJ398,0
36,X-2353,BRCA,BGJ398,0
46,X-3298,BRCA,BGJ398,0
6,X-1371,BRCA,BGJ398,0
47,X-3450,BRCA,BGJ398,1
14,X-1631,BRCA,BGJ398,0
75,X-1298,BRCA,BKM120,1
160,X-3077,BRCA,BKM120,1
212,X-4824,BRCA,BKM120,1
101,X-1832,BRCA,BKM120,0
128,X-2353,BRCA,BKM120,1
171,X-3298,BRCA,BKM120,1
80,X-1371,BRCA,BKM120,1
172,X-3450,BRCA,BKM120,1
93,X-1631,BRCA,BKM120,1
244,X-1298,BRCA,BYL719,0
319,X-3077,BRCA,BYL719,1
353,X-4824,BRCA,BYL719,1
269,X-1832,BRCA,BYL719,0
294,X-2353,BRCA,BYL719,1
328,X-3298,BRCA,BYL719,0
249,X-1371,BRCA,BYL719,0
329,X-3450,BRCA,BYL719,1
262,X-1631,BRCA,BYL719,1
382,X-1298,BRCA,BYL719 + LJM716,0
454,X-3077,BRCA,BYL719 + LJM716,1
485,X-4824,BRCA,BYL719 + LJM716,1
407,X-1832,BRCA,BYL719 + LJM716,1
430,X-2353,BRCA,BYL719 + LJM716,0
463,X-3298,BRCA,BYL719 + LJM716,1
387,X-1371,BRCA,BYL719 + LJM716,1
464,X-3450,BRCA,BYL719 + LJM716,1
400,X-1631,BRCA,BYL719 + LJM716,0
512,X-1298,BRCA,CGM097,0
579,X-3077,BRCA,CGM097,1
613,X-4824,BRCA,CGM097,0
536,X-1832,BRCA,CGM097,0
557,X-2353,BRCA,CGM097,1
589,X-3298,BRCA,CGM097,0
516,X-1371,BRCA,CGM097,1
590,X-3450,BRCA,CGM097,1
528,X-1631,BRCA,CGM097,0
643,X-1298,BRCA,CLR457,0
728,X-3077,BRCA,CLR457,1
771,X-4824,BRCA,CLR457,1
670,X-1832,BRCA,CLR457,0
697,X-2353,BRCA,CLR457,1
739,X-3298,BRCA,CLR457,0
648,X-1371,BRCA,CLR457,0
740,X-3450,BRCA,CLR457,1
662,X-1631,BRCA,CLR457,1
800,X-1298,BRCA,HDM201,0
872,X-3077,BRCA,HDM201,1
906,X-4824,BRCA,HDM201,1
825,X-1832,BRCA,HDM201,0
848,X-2353,BRCA,HDM201,0
881,X-3298,BRCA,HDM201,0
805,X-1371,BRCA,HDM201,0
882,X-3450,BRCA,HDM201,0
818,X-1631,BRCA,HDM201,0
927,X-1298,BRCA,INC424,1
959,X-3078,BRCA,INC424,0
936,X-1916,BRCA,INC424,0
949,X-2524,BRCA,INC424,0
948,X-2487,BRCA,INC424,0
963,X-3450,BRCA,INC424,1
929,X-1371,BRCA,INC424,0
964,X-3468,BRCA,INC424,1
934,X-1828,BRCA,INC424,0
1004,X-1298,BRCA,LEE011,1
1091,X-3077,BRCA,LEE011,1
1141,X-4824,BRCA,LEE011,1
1032,X-1832,BRCA,LEE011,0
1059,X-2353,BRCA,LEE011,1
1102,X-3298,BRCA,LEE011,0
1010,X-1371,BRCA,LEE011,0
1103,X-3450,BRCA,LEE011,1
1024,X-1631,BRCA,LEE011,0
1169,X-1298,BRCA,LKA136,0
1223,X-3077,BRCA,LKA136,0
1254,X-4824,BRCA,LKA136,0
1185,X-1832,BRCA,LKA136,0
1199,X-2353,BRCA,LKA136,1
1231,X-3298,BRCA,LKA136,1
1173,X-1371,BRCA,LKA136,0
1232,X-3450,BRCA,LKA136,1
1183,X-1631,BRCA,LKA136,0
1275,X-1298,BRCA,LLM871,1
1312,X-3077,BRCA,LLM871,1
1325,X-4824,BRCA,LLM871,0
1291,X-1832,BRCA,LLM871,0
1306,X-2353,BRCA,LLM871,1
1316,X-3298,BRCA,LLM871,0
1277,X-1371,BRCA,LLM871,0
1317,X-3450,BRCA,LLM871,1
1284,X-1631,BRCA,LLM871,1
1341,X-1298,BRCA,binimetinib,0
1427,X-3077,BRCA,binimetinib,1
1480,X-4824,BRCA,binimetinib,1
1368,X-1832,BRCA,binimetinib,0
1396,X-2353,BRCA,binimetinib,1
1437,X-3298,BRCA,binimetinib,0
1347,X-1371,BRCA,binimetinib,1
1438,X-3450,BRCA,binimetinib,1
1360,X-1631,BRCA,binimetinib,0
1504,X-1298,BRCA,paclitaxel,0
1541,X-3077,BRCA,paclitaxel,1
1554,X-4824,BRCA,paclitaxel,0
1521,X-1832,BRCA,paclitaxel,0
1535,X-2353,BRCA,paclitaxel,1
1545,X-3298,BRCA,paclitaxel,1
1506,X-1371,BRCA,paclitaxel,1
1546,X-3450,BRCA,paclitaxel,0
1514,X-1631,BRCA,paclitaxel,1
154,X-2921,CM,BKM120,0
177,X-3676,CM,BKM120,0
176,X-3503,CM,BKM120,1
202,X-4426,CM,BKM120,0
147,X-2723,CM,BKM120,0
125,X-2306,CM,BKM120,1
203,X-4455,CM,BKM120,0
148,X-2753,CM,BKM120,1
596,X-3746,CM,CGM097,0
594,X-3503,CM,CGM097,1
607,X-4455,CM,CGM097,0
570,X-2723,CM,CGM097,0
555,X-2306,CM,CGM097,0
608,X-4530,CM,CGM097,0
571,X-2753,CM,CGM097,1
663,X-1655,CM,CLR457,1
761,X-4339,CM,CLR457,1
716,X-2753,CM,CLR457,1
694,X-2306,CM,CLR457,1
719,X-2838,CM,CLR457,1
1110,X-3773,CM,LEE011,1
1109,X-3746,CM,LEE011,0
1134,X-4530,CM,LEE011,0
1079,X-2753,CM,LEE011,0
1071,X-2602,CM,LEE011,1
1135,X-4538,CM,LEE011,0
1082,X-2838,CM,LEE011,1
1896,X-2921,CM,WNT974,0
1906,X-3676,CM,WNT974,0
1905,X-3503,CM,WNT974,0
1925,X-4426,CM,WNT974,0
1893,X-2723,CM,WNT974,1
1883,X-2306,CM,WNT974,0
1926,X-4455,CM,WNT974,0
1894,X-2753,CM,WNT974,0
1421,X-2921,CM,binimetinib,0
1444,X-3676,CM,binimetinib,0
1442,X-3503,CM,binimetinib,0
1470,X-4426,CM,binimetinib,0
1414,X-2723,CM,binimetinib,1
1393,X-2306,CM,binimetinib,1
1471,X-4455,CM,binimetinib,0
1415,X-2753,CM,binimetinib,0
1728,X-2921,CM,encorafenib,0
1738,X-3676,CM,encorafenib,0
1737,X-3503,CM,encorafenib,0
1746,X-4426,CM,encorafenib,0
1722,X-2723,CM,encorafenib,0
1711,X-2306,CM,encorafenib,0
1747,X-4455,CM,encorafenib,0
1723,X-2753,CM,encorafenib,0
120,X-2145,CRC,BKM120,1
194,X-4145,CRC,BKM120,0
68,X-1167,CRC,BKM120,1
181,X-3792,CRC,BKM120,0
87,X-1479,CRC,BKM120,1
122,X-2182,CRC,BKM120,0
150,X-2822,CRC,BKM120,1
70,X-1173,CRC,BKM120,1
152,X-2846,CRC,BKM120,1
83,X-1441,CRC,BKM120,1
343,X-4145,CRC,BYL719,1
272,X-1855,CRC,BYL719,1
237,X-1167,CRC,BYL719,0
324,X-3224,CRC,BYL719,1
256,X-1479,CRC,BYL719,1
287,X-2145,CRC,BYL719,0
305,X-2573,CRC,BYL719,1
239,X-1173,CRC,BYL719,0
308,X-2659,CRC,BYL719,0
252,X-1441,CRC,BYL719,1
425,X-2145,CRC,BYL719 + LJM716,1
477,X-4145,CRC,BYL719 + LJM716,0
375,X-1167,CRC,BYL719 + LJM716,0
467,X-3792,CRC,BYL719 + LJM716,1
394,X-1479,CRC,BYL719 + LJM716,1
426,X-2182,CRC,BYL719 + LJM716,0
446,X-2822,CRC,BYL719 + LJM716,1
377,X-1173,CRC,BYL719 + LJM716,1
447,X-2846,CRC,BYL719 + LJM716,1
390,X-1441,CRC,BYL719 + LJM716,1
507,X-1167,CRC,CGM097,0
568,X-2659,CRC,CGM097,0
523,X-1479,CRC,CGM097,0
559,X-2483,CRC,CGM097,1
558,X-2403,CRC,CGM097,0
576,X-2861,CRC,CGM097,0
509,X-1173,CRC,CGM097,0
581,X-3093,CRC,CGM097,0
519,X-1441,CRC,CGM097,0
1630,X-1167,CRC,CKX620,1
1667,X-2538,CRC,CKX620,1
1679,X-3792,CRC,CKX620,1
1641,X-1479,CRC,CKX620,1
1662,X-2182,CRC,CKX620,0
