,Model,Tumor,Treatment,BestResCatCalc
0,X-1004,BRCA,BGJ398,1
39,X-2640,BRCA,BGJ398,1
62,X-6047,BRCA,BGJ398,0
52,X-4347,BRCA,BGJ398,1
48,X-3468,BRCA,BGJ398,0
10,X-1468,BRCA,BGJ398,0
13,X-1600,BRCA,BGJ398,0
57,X-4949,BRCA,BGJ398,0
59,X-5355,BRCA,BGJ398,0
34,X-2195,BRCA,BGJ398,0
63,X-1004,BRCA,BKM120,1
143,X-2640,BRCA,BKM120,1
231,X-6047,BRCA,BKM120,0
199,X-4347,BRCA,BKM120,1
173,X-3468,BRCA,BKM120,1
86,X-1468,BRCA,BKM120,1
92,X-1600,BRCA,BKM120,1
217,X-4949,BRCA,BKM120,1
222,X-5355,BRCA,BKM120,1
123,X-2195,BRCA,BKM120,0
232,X-1004,BRCA,BYL719,1
307,X-2640,BRCA,BYL719,1
369,X-6047,BRCA,BYL719,0
346,X-4347,BRCA,BYL719,1
330,X-3468,BRCA,BYL719,1
255,X-1468,BRCA,BYL719,1
261,X-1600,BRCA,BYL719,0
356,X-4949,BRCA,BYL719,1
360,X-5355,BRCA,BYL719,1
289,X-2195,BRCA,BYL719,0
370,X-1004,BRCA,BYL719 + LJM716,1
442,X-2640,BRCA,BYL719 + LJM716,1
501,X-6047,BRCA,BYL719 + LJM716,1
480,X-4347,BRCA,BYL719 + LJM716,1
465,X-3468,BRCA,BYL719 + LJM716,1
393,X-1468,BRCA,BYL719 + LJM716,1
399,X-1600,BRCA,BYL719 + LJM716,0
488,X-4949,BRCA,BYL719 + LJM716,1
492,X-5355,BRCA,BYL719 + LJM716,1
427,X-2195,BRCA,BYL719 + LJM716,1
502,X-1004,BRCA,CGM097,0
567,X-2640,BRCA,CGM097,1
630,X-6047,BRCA,CGM097,0
605,X-4347,BRCA,CGM097,1
591,X-3468,BRCA,CGM097,0
522,X-1468,BRCA,CGM097,1
527,X-1600,BRCA,CGM097,0
617,X-4949,BRCA,CGM097,0
621,X-5355,BRCA,CGM097,0
554,X-2195,BRCA,CGM097,1
631,X-1004,BRCA,CLR457,1
711,X-2640,BRCA,CLR457,1
788,X-6047,BRCA,CLR457,0
762,X-4347,BRCA,CLR457,1
741,X-3468,BRCA,CLR457,1
654,X-1468,BRCA,CLR457,1
661,X-1600,BRCA,CLR457,1
774,X-4949,BRCA,CLR457,0
779,X-5355,BRCA,CLR457,1
691,X-2195,BRCA,CLR457,0
789,X-1004,BRCA,HDM201,1
860,X-2640,BRCA,HDM201,0
922,X-6047,BRCA,HDM201,0
900,X-4347,BRCA,HDM201,1
883,X-3468,BRCA,HDM201,1
811,X-1468,BRCA,HDM201,1
817,X-1600,BRCA,HDM201,0
909,X-4949,BRCA,HDM201,0
913,X-5355,BRCA,HDM201,0
844,X-2195,BRCA,HDM201,1
923,X-1004,BRCA,INC424,1
983,X-4824,BRCA,INC424,0
984,X-4888,BRCA,INC424,1
990,X-5975,BRCA,INC424,0
962,X-3298,BRCA,INC424,0
991,X-6047,BRCA,INC424,0
933,X-1600,BRCA,INC424,0
941,X-2195,BRCA,INC424,1
989,X-5502,BRCA,INC424,1
931,X-1407,BRCA,INC424,0
992,X-1004,BRCA,LEE011,1
1074,X-2640,BRCA,LEE011,1
1158,X-6047,BRCA,LEE011,0
1129,X-4347,BRCA,LEE011,1
1104,X-3468,BRCA,LEE011,1
1016,X-1468,BRCA,LEE011,1
1023,X-1600,BRCA,LEE011,0
1145,X-4949,BRCA,LEE011,1
1149,X-5355,BRCA,LEE011,1
1053,X-2195,BRCA,LEE011,1
1159,X-1004,BRCA,LKA136,1
1212,X-2640,BRCA,LKA136,1
1270,X-6047,BRCA,LKA136,0
1248,X-4347,BRCA,LKA136,0
1233,X-3468,BRCA,LKA136,1
1178,X-1468,BRCA,LKA136,0
1182,X-1600,BRCA,LKA136,0
1257,X-4949,BRCA,LKA136,0
1261,X-5355,BRCA,LKA136,0
1195,X-2195,BRCA,LKA136,0
1271,X-1004,BRCA,LLM871,1
1309,X-2640,BRCA,LLM871,1
1332,X-6047,BRCA,LLM871,1
1322,X-4347,BRCA,LLM871,1
1318,X-3468,BRCA,LLM871,1
1281,X-1468,BRCA,LLM871,1
1283,X-1600,BRCA,LLM871,0
1327,X-4949,BRCA,LLM871,0
1329,X-5355,BRCA,LLM871,1
1304,X-2195,BRCA,LLM871,0
54,X-1004,BRCA,binimetinib,0
1410,X-2640,BRCA,binimetinib,1
1499,X-6047,BRCA,binimetinib,0
1467,X-4347,BRCA,binimetinib,1
1439,X-3468,BRCA,binimetinib,1
1353,X-1468,BRCA,binimetinib,1
1359,X-1600,BRCA,binimetinib,0
1485,X-4949,BRCA,binimetinib,0
1490,X-5355,BRCA,binimetinib,1
1391,X-2195,BRCA,binimetinib,1
1500,X-1004,BRCA,paclitaxel,1
1538,X-2640,BRCA,paclitaxel,0
1561,X-6047,BRCA,paclitaxel,1
1551,X-4347,BRCA,paclitaxel,1
1547,X-3468,BRCA,paclitaxel,1
1510,X-1468,BRCA,paclitaxel,1
1513,X-1600,BRCA,paclitaxel,0
1556,X-4949,BRCA,paclitaxel,0
1558,X-5355,BRCA,paclitaxel,1
1533,X-2195,BRCA,paclitaxel,0
174,X-3483,CM,BKM120,1
209,X-4668,CM,BKM120,0
105,X-1906,CM,BKM120,1
205,X-4538,CM,BKM120,1
141,X-2613,CM,BKM120,0
180,X-3773,CM,BKM120,1
213,X-4832,CM,BKM120,0
179,X-3746,CM,BKM120,1
592,X-3483,CM,CGM097,1
612,X-4668,CM,CGM097,0
540,X-1906,CM,CGM097,0
609,X-4538,CM,CGM097,0
566,X-2613,CM,CGM097,1
600,X-3851,CM,CGM097,0
614,X-4832,CM,CGM097,0
597,X-3773,CM,CGM097,1
767,X-4644,CM,CLR457,0
775,X-5189,CM,CLR457,0
734,X-3211,CM,CLR457,1
772,X-4849,CM,CLR457,0
750,X-3851,CM,CLR457,0
1085,X-2921,CM,LEE011,0
1137,X-4644,CM,LEE011,0
1133,X-4455,CM,LEE011,1
1105,X-3483,CM,LEE011,1
1077,X-2700,CM,LEE011,0
1097,X-3211,CM,LEE011,1
1139,X-4668,CM,LEE011,1
1142,X-4849,CM,LEE011,0
1903,X-3483,CM,WNT974,0
1931,X-4668,CM,WNT974,0
1877,X-1906,CM,WNT974,0
1928,X-4538,CM,WNT974,0
1889,X-2613,CM,WNT974,0
1908,X-3773,CM,WNT974,0
